Date,Blood Type,Donations
2010-01-01,a,148
2010-01-02,a,157
2010-01-03,a,284
2010-01-04,a,152
2010-01-05,a,296
2010-01-06,a,293
2010-01-07,a,300
2010-01-08,a,215
2010-01-09,a,334
2010-01-10,a,507
2010-01-11,a,353
2010-01-12,a,408
2010-01-13,a,454
2010-01-14,a,412
2010-01-15,a,181
2010-01-16,a,318
2010-01-17,a,272
2010-01-18,a,262
2010-01-19,a,304
2010-01-20,a,575
2010-01-21,a,628
2010-01-22,a,434
2010-01-23,a,270
2010-01-24,a,365
2010-01-25,a,274
2010-01-26,a,236
2010-01-27,a,328
2010-01-28,a,331
2010-01-29,a,193
2010-01-30,a,458
2010-01-31,a,238
2010-02-01,a,193
2010-02-02,a,295
2010-02-03,a,481
2010-02-04,a,533
2010-02-05,a,160
2010-02-06,a,362
2010-02-07,a,268
2010-02-08,a,313
2010-02-09,a,300
2010-02-10,a,306
2010-02-11,a,467
2010-02-12,a,120
2010-02-13,a,163
2010-02-14,a,57
2010-02-15,a,86
2010-02-16,a,81
2010-02-17,a,273
2010-02-18,a,299
2010-02-19,a,138
2010-02-20,a,218
2010-02-21,a,183
2010-02-22,a,224
2010-02-23,a,332
2010-02-24,a,461
2010-02-25,a,279
2010-02-26,a,153
2010-02-27,a,638
2010-02-28,a,280
2010-03-01,a,169
2010-03-02,a,284
2010-03-03,a,243
2010-03-04,a,279
2010-03-05,a,182
2010-03-06,a,286
2010-03-07,a,342
2010-03-08,a,240
2010-03-09,a,481
2010-03-10,a,391
2010-03-11,a,428
2010-03-12,a,227
2010-03-13,a,192
2010-03-14,a,581
2010-03-15,a,239
2010-03-16,a,282
2010-03-17,a,337
2010-03-18,a,208
2010-03-19,a,215
2010-03-20,a,188
2010-03-21,a,537
2010-03-22,a,121
2010-03-23,a,281
2010-03-24,a,347
2010-03-25,a,296
2010-03-26,a,308
2010-03-27,a,282
2010-03-28,a,308
2010-03-29,a,250
2010-03-30,a,279
2010-03-31,a,251
2010-04-01,a,318
2010-04-02,a,142
2010-04-03,a,179
2010-04-04,a,310
2010-04-05,a,148
2010-04-06,a,205
2010-04-07,a,322
2010-04-08,a,409
2010-04-09,a,101
2010-04-10,a,181
2010-04-11,a,455
2010-04-12,a,157
2010-04-13,a,251
2010-04-14,a,325
2010-04-15,a,337
2010-04-16,a,129
2010-04-17,a,285
2010-04-18,a,499
2010-04-19,a,147
2010-04-20,a,303
2010-04-21,a,233
2010-04-22,a,368
2010-04-23,a,160
2010-04-24,a,188
2010-04-25,a,396
2010-04-26,a,122
2010-04-27,a,208
2010-04-28,a,232
2010-04-29,a,364
2010-04-30,a,111
2010-05-01,a,555
2010-05-02,a,270
2010-05-03,a,132
2010-05-04,a,192
2010-05-05,a,226
2010-05-06,a,280
2010-05-07,a,127
2010-05-08,a,288
2010-05-09,a,369
2010-05-10,a,156
2010-05-11,a,132
2010-05-12,a,184
2010-05-13,a,281
2010-05-14,a,177
2010-05-15,a,265
2010-05-16,a,357
2010-05-17,a,137
2010-05-18,a,252
2010-05-19,a,342
2010-05-20,a,312
2010-05-21,a,261
2010-05-22,a,594
2010-05-23,a,280
2010-05-24,a,810
2010-05-25,a,272
2010-05-26,a,201
2010-05-27,a,204
2010-05-28,a,555
2010-05-29,a,222
2010-05-30,a,385
2010-05-31,a,167
2010-06-01,a,138
2010-06-02,a,312
2010-06-03,a,286
2010-06-04,a,260
2010-06-05,a,219
2010-06-06,a,267
2010-06-07,a,149
2010-06-08,a,169
2010-06-09,a,182
2010-06-10,a,210
2010-06-11,a,142
2010-06-12,a,230
2010-06-13,a,469
2010-06-14,a,221
2010-06-15,a,176
2010-06-16,a,294
2010-06-17,a,293
2010-06-18,a,145
2010-06-19,a,176
2010-06-20,a,474
2010-06-21,a,136
2010-06-22,a,121
2010-06-23,a,268
2010-06-24,a,296
2010-06-25,a,280
2010-06-26,a,307
2010-06-27,a,431
2010-06-28,a,211
2010-06-29,a,257
2010-06-30,a,243
2010-07-01,a,165
2010-07-02,a,74
2010-07-03,a,272
2010-07-04,a,414
2010-07-05,a,165
2010-07-06,a,263
2010-07-07,a,222
2010-07-08,a,237
2010-07-09,a,115
2010-07-10,a,215
2010-07-11,a,411
2010-07-12,a,136
2010-07-13,a,309
2010-07-14,a,313
2010-07-15,a,305
2010-07-16,a,273
2010-07-17,a,214
2010-07-18,a,411
2010-07-19,a,200
2010-07-20,a,286
2010-07-21,a,371
2010-07-22,a,355
2010-07-23,a,184
2010-07-24,a,299
2010-07-25,a,373
2010-07-26,a,319
2010-07-27,a,386
2010-07-28,a,415
2010-07-29,a,513
2010-07-30,a,359
2010-07-31,a,426
2010-08-01,a,348
2010-08-02,a,323
2010-08-03,a,608
2010-08-04,a,413
2010-08-05,a,408
2010-08-06,a,348
2010-08-07,a,481
2010-08-08,a,662
2010-08-09,a,354
2010-08-10,a,328
2010-08-11,a,82
2010-08-12,a,40
2010-08-13,a,124
2010-08-14,a,59
2010-08-15,a,515
2010-08-16,a,65
2010-08-17,a,105
2010-08-18,a,104
2010-08-19,a,105
2010-08-20,a,121
2010-08-21,a,150
2010-08-22,a,443
2010-08-23,a,134
2010-08-24,a,204
